County Code,Perm ID,Facility Name,Building #,Building Name,Building Status,SPC Rating,2007 Hazus Score (%),2010 Hazus Score (%),NPC Rating,Location 1,Count
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-05837,Chiller Plant,Proposed,5s,,,NYA,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,11242,Children's Hospital and Research Center at Oakland,BLD-05856,Outpatient Center 2,Clinic - Local Jurisdiction,N/A,,,NYA,"Oakland
(37.8368568, -122.2671051)",1
01 - Alameda,18180,Eden Medical Center,BLD-05340,Replacement Hospital,In Service,5,,,4,"Castro Valley
(37.69838, -122.0873925)",1
01 - Alameda,18180,Eden Medical Center,BLD-05341,Chiller Building,In Service,5,,,4,"Castro Valley
(37.69838, -122.0873925)",1
01 - Alameda,18180,Eden Medical Center,BLD-05342,Main Entrance Canopy,In Service,5,,,4,"Castro Valley
(37.69838, -122.0873925)",1
01 - Alameda,18180,Eden Medical Center,BLD-05343,Emergency Entrance Canopy,In Service,5,,,4,"Castro Valley
(37.69838, -122.0873925)",1
01 - Alameda,11268,Fairmont Hospital,BLD-01311,Building B,Skilled Nursing Only,N/A,,,1,"San Leandro
(37.7100449, -122.1153183)",1
01 - Alameda,11268,Fairmont Hospital,BLD-01312,Building H,In Service,1,,1.22,1,"San Leandro
(37.7100449, -122.1153183)",1
01 - Alameda,11288,Highland Hospital,BLD-01315,Critical Care Building,In Service,5s,,,1,"Oakland
(37.7991754, -122.2310563)",1
01 - Alameda,11288,Highland Hospital,BLD-01316,Acute Care Tower,In Service,1,,,1,"Oakland
(37.7991754, -122.2310563)",1
01 - Alameda,11288,Highland Hospital,BLD-01318,Chiller Building,In Service,1,,,1,"Oakland
(37.7991754, -122.2310563)",1
01 - Alameda,11288,Highland Hospital,BLD-01319,Boiler Plant,In Service,1,,,1,"Oakland
(37.7991754, -122.2310563)",1
01 - Alameda,11288,Highland Hospital,BLD-02957,New Acute Care Building,Under Construction,5s,,,NYA,"Oakland
(37.7991754, -122.2310563)",1
01 - Alameda,11288,Highland Hospital,BLD-05785,John George Psychiatric Hospital,Acute Psych Only,N/A,,,NYA,"San Leandro
(37.7991754, -122.2310563)",1
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02489,Hospital Patient Wing North,In Service,3,,,3,"Fremont
(37.5518335, -121.9776935)",1
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02490,Hospital Patient Wing South,In Service,3,,,3,"Fremont
(37.5518335, -121.9776935)",1
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02491,Hospital North,In Service,3,,,3,"Fremont
(37.5518335, -121.9776935)",1
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02492,Hospital South,In Service,3,,,3,"Fremont
(37.5518335, -121.9776935)",1
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02493,Central Plant,In Service,5,,,3,"Fremont
(37.5518335, -121.9776935)",1
01 - Alameda,14509,Kaiser Foundation Hospital - Fremont,BLD-02494,General Services Building,In Service,3s,,,3,"Fremont
(37.5518335, -121.9776935)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01320,Clinic,In Service,1,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01321,Hospital,In Service,1,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01322,Clinic Addition,In Service,1,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01323,Storeroom,In Service,4,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01324,West Wing Addition,In Service,4,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01325,Central Plant,In Service,4,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01326,"East Wing, Low Rise",In Service,4,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01327,"East Wing, Tower",In Service,4,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01328,Lobby,In Service,3,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01329,Hospital Addition,In Service,3,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11295,Kaiser Foundation Hospital - Hayward,BLD-01330,Pharmacy Addition,In Service,4,,,2,"Hayward
(37.6305771, -122.0951462)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01331,Unit A Addition,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01332,Second Floor Surgery Addition North,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01333,Second Floor Surgery Addition South,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01334,Lobby Addition,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01335,Southwest Courtyard Infill,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01336,X-Ray Addition,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01337,"Hospital, Clinic, Surgery Expansion",In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01338,Northeast Court Infill,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01339,Howe Street Addition,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01340,Southeast Court Infill,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01341,Tower Addition,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-01342,Central Plant,In Service,4,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-02617,Emergency Generator Building,In Service,1,,,2,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,11296,Kaiser Foundation Hospital - Oakland Campus,BLD-05860,ED Addition,In Service,5s,,,NYA,"Oakland
(37.824852, -122.2571869)",1
01 - Alameda,18206,Kaiser Foundation Hospital - Oakland/Richmond,BLD-02986,Hospital,In Service,5,,,4,"Oakland
(37.8233092, -122.2592711)",1
01 - Alameda,18206,Kaiser Foundation Hospital - Oakland/Richmond,BLD-02987,Central Plant,In Service,5,,,4,"Oakland
(37.8233092, -122.2592711)",1
01 - Alameda,18206,Kaiser Foundation Hospital - Oakland/Richmond,BLD-05716,Loading Dock and Plaza,In Service,5,,,4,"Oakland
(37.8233092, -122.2592711)",1
01 - Alameda,18186,Kaiser Foundation Hospital - San Leandro,BLD-03481,Templated Hospital Project,Under Construction,5s,,,NYA,"San Leandro
(37.7062596, -122.1692482)",1
01 - Alameda,18186,Kaiser Foundation Hospital - San Leandro,BLD-03482,Central Utility Plant,Under Construction,5s,,,NYA,"San Leandro
(37.7062596, -122.1692482)",1
01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,BLD-00692,Original Building,In Service,2,23.62,1.04,2,"San Leandro
(37.7167397, -122.1298676)",1
01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,BLD-00693,Outpatient Diag. & Treat. Center,In Service,5,,,2,"San Leandro
(37.7167397, -122.1298676)",1
01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,BLD-00694,Boiler Enclosure,In Service,4,,,2,"San Leandro
(37.7167397, -122.1298676)",1
01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,BLD-03083,Surgery Addition,Not an Independent Building,N/A,,,N/A,"San Leandro
(37.7167397, -122.1298676)",1
01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,BLD-05427,Emergency Generator,Equipment Yard,N/A,,,2,"San Leandro
(37.7167397, -122.1298676)",1
01 - Alameda,11321,Kindred Hospital - San Francisco Bay Area,BLD-05428,Liquid Oxygen Enclosure,Equipment Yard,N/A,,,2,"San Leandro
(37.7167397, -122.1298676)",1
01 - Alameda,11256,San Leandro Hospital,BLD-01300,Main/Original Building,In Service,3,,,2,"San Leandro
(37.7145685, -122.1418836)",1
01 - Alameda,11256,San Leandro Hospital,BLD-02709,Emergency Addition,In Service,5,,,2,"San Leandro
(37.7145685, -122.1418836)",1
01 - Alameda,11344,St. Rose Hospital,BLD-00709,Main Hospital Building,In Service,2,0.61,,2,"Hayward
(37.6333427, -122.0879517)",1
01 - Alameda,11344,St. Rose Hospital,BLD-00710,Engineering/Boiler Building,Not an Independent Building,N/A,,,N/A,"Hayward
(37.6333427, -122.0879517)",1
01 - Alameda,11344,St. Rose Hospital,BLD-00711,Emergency and Critical Care Building,In Service,3,,,2,"Hayward
(37.6333427, -122.0879517)",1
01 - Alameda,11344,St. Rose Hospital,BLD-00712,Chiller/Generator Building,In Service,5,,,2,"Hayward
(37.6333427, -122.0879517)",1
01 - Alameda,11344,St. Rose Hospital,BLD-03084,Skilled Nursing Facility,Skilled Nursing Only,N/A,,,N/A,"Hayward
(37.6333427, -122.0879517)",1
01 - Alameda,11363,Valley Memorial Hospital,BLD-00005,Hospital Building,In Service,2,0.63,,2,"Livermore
(37.6769028, -121.7817917)",1
01 - Alameda,11363,Valley Memorial Hospital,BLD-00006,Boiler Building,In Service,2,,0.63,2,"Livermore
(37.6769028, -121.7817917)",1
01 - Alameda,11363,Valley Memorial Hospital,BLD-00007,Emergency Generator Building,In Service,4,,,2,"Livermore
(37.6769028, -121.7817917)",1
01 - Alameda,11363,Valley Memorial Hospital,BLD-00008,Hospital Building-1967 Addition,Not an Independent Building,N/A,,,N/A,"Livermore
(37.6769028, -121.7817917)",1
01 - Alameda,11363,Valley Memorial Hospital,BLD-00009,Hospital Building - 1977 Addition,Not an Independent Building,N/A,,,N/A,"Livermore
(37.6769028, -121.7817917)",1
01 - Alameda,11363,Valley Memorial Hospital,BLD-02992,Lobby Addition to Hospital Building,In Service,3,,,2,"Livermore
(37.6769028, -121.7817917)",1
01 - Alameda,11363,Valley Memorial Hospital,BLD-03085,Building D: Service Building,In Service,4s,,,2,"Livermore
(37.6769028, -121.7817917)",1
01 - Alameda,16632,ValleyCare Medical Center,BLD-02532,Hospital  Ambulatory Care & Inc. II,In Service,3,,,2,"Pleasanton
(37.6939774, -121.8806839)",1
01 - Alameda,16632,ValleyCare Medical Center,BLD-02533,Central Plant,In Service,5,,,2,"Pleasanton
(37.6939774, -121.8806839)",1
01 - Alameda,16632,ValleyCare Medical Center,BLD-02534,Valleycare (New) Addition,In Service,5,,,4,"Pleasanton
(37.6939774, -121.8806839)",1
01 - Alameda,16632,ValleyCare Medical Center,BLD-02699,Arcade - Phase I - Portion 1,In Service,2,,,2,"Pleasanton
(37.6939774, -121.8806839)",1
01 - Alameda,16632,ValleyCare Medical Center,BLD-02700,Arcade - Phase II - Portion 1,In Service,2,,,2,"Pleasanton
(37.6939774, -121.8806839)",1
01 - Alameda,16632,ValleyCare Medical Center,BLD-02701,Porte Cochere,In Service,5,,,4,"Pleasanton
(37.6939774, -121.8806839)",1
01 - Alameda,16632,ValleyCare Medical Center,BLD-02901,Arcade - Phase I - Portion 2,In Service,2,,,2,"Pleasanton
(37.6939774, -121.8806839)",1
01 - Alameda,16632,ValleyCare Medical Center,BLD-02902,Arcade - Phase I - Portion 3,In Service,2,,,2,"Pleasanton
(37.6939774, -121.8806839)",1
01 - Alameda,16632,ValleyCare Medical Center,BLD-02903,Arcade - Phase II - Portion 2,In Service,2,,,2,"Pleasanton
(37.6939774, -121.8806839)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-00713,Original Hospital,In Service,2,,,2,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-00714,South Wing Addition,In Service,2,,,2,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-00715,Emergency Wing Addition,In Service,2,,,2,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-00716,Areas No. 1 and 2 Addition,In Service,2,,,2,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-00717,Area No. 3 Addition,In Service,2,,,2,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-00718,Area No. 4 Addition,In Service,2,,,2,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-00719,Area No. 5 Addition,In Service,2,,,2,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-00720,Entrance Canopy,In Service,5,,,4,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-03561,Center for Joint Replacement,Under Construction,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-03562,Central Plant,Under Construction,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-03563,Center for Joint Replacement - Bridge,Under Construction,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-03564,Interim Loading Dock,In Service,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-03565,Underground Service Passage,In Service,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-05627,Main Building,Under Construction,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-05628,Canopy #1,Under Construction,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-05629,Canopy #2,Under Construction,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-05630,Canopy #3,Under Construction,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-05631,Decontamination Building,Under Construction,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-05632,Pedestrian Walkway #1,Under Construction,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
01 - Alameda,11366,Washington Hospital - Fremont,BLD-05633,Pedestrian Walkway #2,Under Construction,5s,,,NYA,"Fremont
(37.5580099, -121.9806024)",1
03 - Amador,17490,Sutter Amador Hospital,BLD-00089,Hospital Building,In Service,5,,,4,"Jackson
(38.3507271, -120.764679)",1
03 - Amador,17490,Sutter Amador Hospital,BLD-05532,Emergency Department Entry Porte Cochere - Low,In Service,5s,,,NYA,"Jackson
(38.3507271, -120.764679)",1
03 - Amador,17490,Sutter Amador Hospital,BLD-05533,Emergency Department Entry Porte Cochere - High,In Service,5s,,,NYA,"Jackson
(38.3507271, -120.764679)",1
04 - Butte,10009,Enloe Medical Center - Cohasset,BLD-00101,Original Hospital and Additions,In Service,1,,,1,"Chico
(39.7516935, -121.8485096)",1
04 - Butte,10009,Enloe Medical Center - Cohasset,BLD-00102,Radiology Addition,In Service,4,,,1,"Chico
(39.7516935, -121.8485096)",1
04 - Butte,10009,Enloe Medical Center - Cohasset,BLD-00103,Behavioral Health & Administration,In Service,4,,,1,"Chico
(39.7516935, -121.8485096)",1
04 - Butte,10009,Enloe Medical Center - Cohasset,BLD-00104,Radiology Addition,In Service,4,,,1,"Chico
(39.7516935, -121.8485096)",1
04 - Butte,10009,Enloe Medical Center - Cohasset,BLD-00105,Central Stores,In Service,4,,,1,"Chico
(39.7516935, -121.8485096)",1
04 - Butte,10009,Enloe Medical Center - Cohasset,BLD-00106,Cardiac Cath Lab,In Service,4,,,1,"Chico
(39.7516935, -121.8485096)",1
04 - Butte,10009,Enloe Medical Center - Cohasset,BLD-00107,Administration,In Service,4,,,1,"Chico
(39.7516935, -121.8485096)",1
04 - Butte,10009,Enloe Medical Center - Cohasset,BLD-00108,Surgery Addition,In Service,4,,,1,"Chico
(39.7516935, -121.8485096)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00110,Original Hospital,In Service,2,,0.13,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00111,O.B. First Addition,Not an Independent Building,N/A,,,NYA,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00112,O.B. Second Addition,Not an Independent Building,N/A,,,NYA,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00113,Administration Third Addition,Not an Independent Building,N/A,,,NYA,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00114,Surgery Wing,In Service,2,,,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00115,Corridor No. 1,In Service,2,,1.17,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00116,South Wing,Not an Independent Building,N/A,,,NYA,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00117,Trauma,In Service,2,,0.00,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00118,Pharmacy,In Service,2,,0.00,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00119,Tower,In Service,4,,,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00120,Cath Lab No. 1,In Service,4,,,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00121,Radiology - Oncology,In Service,4,,,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00122,Cath Lab No. 2,In Service,4,,,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00123,Surgery Addition,In Service,4s,,,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-00124,Waiting Area/Corridor No. 2,In Service,4,,,2,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-02934,Magnolia Tower,Under Construction,5s,,,NYA,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-02935,O.R. Addition,Under Construction,5s,,,NYA,"Chico
(39.7422066, -121.8500061)",1
04 - Butte,10013,Enloe Medical Center - Esplanade,BLD-02936,E.R. Addition,Under Construction,5s,,,NYA,"Chico
(39.7422066, -121.8500061)",1
